dia,mes,ano,sobradinho,tucurui,itumbiara,c-dourada,sao-simao,furnas,ilha-solteira,agua-vermelha,salto-santiago,itaipu,corumba,balbina,boa-esperanca,serra-da-mesa,samuel,barra-grande,marimbondo,santo-antonio,jirau,jupia,foz-do-chapeco,porto-primavera,segredo
1,1,2015,895,9564,1135,1319,1798,304,3920,1221,1539,9984,252,612,294,346,668,349,939,29843,29322,5575,2389,6346,1457
2,1,2015,1094,11118,927,920,1849,551,3936,1000,1407,10536,226,565,497,802,668,289,980,36573,35522,4856,1843,5846,1208
3,1,2015,1237,15863,970,916,2227,748,4086,1061,1163,10378,412,886,501,913,989,200,1133,40435,38400,5118,1248,6136,1061
4,1,2015,1386,19054,1175,749,2025,458,3461,880,813,9379,521,885,400,846,897,194,915,33704,31740,4538,893,5375,776
5,1,2015,1087,16758,971,757,1601,358,3366,767,699,9118,431,1314,393,563,756,151,756,34999,33266,3944,725,4821,579
6,1,2015,743,7416,689,556,1132,298,2838,625,854,8740,227,771,243,288,318,374,586,29551,28238,3824,1257,4619,743
7,1,2015,616,3807,560,414,881,238,2252,626,2475,13172,175,529,203,189,115,932,529,20773,20183,3087,4075,4035,1762
8,1,2015,529,2593,541,682,961,185,2601,756,1343,8225,185,351,179,103,55,150,472,12530,11787,2888,1533,3545,1158
9,1,2015,486,2090,780,1121,1358,377,2892,963,1248,8976,283,155,168,64,46,754,727,6445,6235,3498,2090,4381,1089
10,1,2015,483,2343,980,1273,1444,206,3374,1090,1806,12222,185,173,152,82,79,1273,763,5301,5255,4481,5377,5448,1493
11,1,2015,587,2747,926,1167,1572,548,3365,1082,2376,15265,192,171,184,146,108,307,1008,8482,8571,4111,2649,5527,2034
12,1,2015,1046,2809,747,890,1459,862,3307,1046,2560,17984,166,56,204,215,130,386,1198,10759,11017,4033,3110,5623,1993
1,1,2016,1711,7225,1095,764,2257,1621,4190,2424,2123,20320,425,53,709,1456,259,251,2178,17813,17456,4514,1546,6586,1823
2,1,2016,3203,12740,874,463,1542,1110,4764,2007,1505,15505,280,162,477,842,342,426,1658,24841,23559,5915,1944,7603,1328
3,1,2016,1139,12755,1185,538,1824,1130,4797,2352,1785,18173,440,530,339,717,654,277,1930,32751,30667,6726,1818,8598,1570
4,1,2016,636,11354,770,884,1459,512,3492,1503,1176,11760,255,631,292,291,656,269,1281,27445,25635,4961,1403,6132,1007
5,1,2016,466,5166,701,1076,1509,398,3290,1347,1039,12421,189,731,215,201,288,201,1215,21664,20145,4626,1460,5983,883
6,1,2016,400,3033,738,814,1233,575,3605,1570,1507,15111,187,483,198,124,114,102,1268,12591,11750,5398,1112,6776,1270
7,1,2016,372,2003,669,912,1195,296,3408,1528,1273,11236,134,397,169,70,46,468,1168,6607,6246,5050,1160,5974,1084
8,1,2016,398,1549,801,1017,1268,259,3830,1634,1316,11977,120,231,153,96,8,263,1117,3784,3599,5100,1456,5952,1131
9,1,2016,402,1577,717,1109,1255,254,3650,1390,1404,10901,94,309,149,50,30,219,1193,3361,3192,5072,1267,5945,1217
10,1,2016,497,1498,807,1270,1598,423,3675,1614,1055,11740,111,197,175,135,52,493,1240,3818,3700,5531,1548,6462,886
11,1,2016,638,2315,767,1128,1582,650,3792,1697,1007,10440,212,169,267,374,215,124,1399,5775,5690,4688,1379,5507,900
12,1,2016,1517,4224,1028,1045,1795,649,4092,1730,1188,11647,331,369,282,428,391,212,1720,9143,9151,5914,955,7011,1048
1,1,2017,805,6038,933,1068,1832,772,4269,1782,1221,11806,200,752,310,337,546,284,1748,19378,18966,5910,1353,7280,1129
2,1,2017,1143,14862,866,838,1726,533,3907,1961,1293,12037,265,977,618,712,660,135,1711,23329,21618,5578,1103,6980,1185
3,1,2017,938,18549,935,976,1885,543,4339,1723,954,11121,201,1302,518,524,960,64,1669,32902,29609,5573,714,6758,876
4,1,2017,812,16614,620,457,1273,316,3360,1438,610,10005,174,1191,464,451,712,120,1154,32357,28537,4521,553,5648,490
5,1,2017,448,8429,587,301,891,379,3120,1279,530,11141,117,966,276,229,377,541,1004,26725,24402,4714,2322,6158,399
6,1,2017,484,3915,515,188,551,316,2445,859,1426,12778,86,589,222,120,141,921,698,20310,19108,4318,4952,5358,1116
7,1,2017,399,2135,511,454,716,214,2590,1226,1058,8875,79,473,168,67,64,77,774,11153,10710,4180,911,4968,953
8,1,2017,368,1569,500,1148,1330,165,3274,1590,794,9228,82,269,162,48,37,130,1012,5728,5914,4483,885,5414,695
9,1,2017,318,1260,753,1529,1662,123,3777,1409,544,9133,119,342,133,55,29,59,990,4867,5098,5334,738,5903,473
10,1,2017,315,1226,1138,1411,1541,243,3687,1310,1027,10953,162,370,142,105,37,264,991,4141,4256,5223,1246,6182,775
11,1,2017,532,2251,1016,956,1405,382,3233,1285,1375,12098,196,402,237,230,155,129,1221,8859,8847,3862,1238,5093,1012
12,1,2017,1339,6047,1114,946,2019,560,3599,1380,1035,13139,334,474,360,787,421,146,1333,16463,16159,5298,512,6589,839
1,1,2018,1115,8947,1102,656,1896,872,3679,1752,1300,16810,300,514,341,527,680,316,1596,30169,28551,5109,1029,6955,961
2,1,2018,1572,21826,936,531,1726,597,3739,1201,1174,12563,367,462,608,995,1003,85,1256,36882,34147,4896,829,6425,1050
3,1,2018,1778,24481,1131,749,2032,720,3972,1465,898,13639,445,285,810,951,881,114,1388,39257,35776,5334,776,6675,797
4,1,2018,1279,25367,941,404,1446,313,3226,1289,822,11007,458,940,683,696,922,84,745,36296,33380,4664,801,5754,696
5,1,2018,505,10701,623,411,1057,221,3239,975,601,8805,223,1062,306,296,400,70,610,27796,25834,4272,424,5011,526
6,1,2018,431,4331,576,893,1360,214,3194,1117,488,8180,174,807,240,187,152,284,609,19439,18757,4351,524,5057,406
7,1,2018,400,2499,642,1754,2134,158,3579,1272,640,7654,205,644,207,121,55,391,885,10101,9444,4128,815,4802,570
8,1,2018,385,1744,710,1338,1701,206,3580,1101,484,9045,173,324,187,80,94,275,769,6279,6121,5305,870,5964,416
9,1,2018,341,1759,920,1061,1439,174,3407,1056,722,8584,149,270,174,68,44,539,739,4649,4475,4102,1803,5058,611
10,1,2018,393,2242,863,1320,1920,454,3414,1042,1172,11745,187,161,218,172,59,321,1077,5507,5506,4810,2215,6039,985
11,1,2018,943,3973,1091,896,2040,824,3778,1353,1353,11525,392,342,240,498,256,305,1370,13206,13380,5526,1660,6466,1220
12,1,2018,1909,9220,1071,598,1548,924,3810,1391,723,9674,356,624,412,754,717,193,1126,25207,24842,5180,1182,6128,643
1,1,2019,1166,9079,1135,1394,2144,683,4383,1748,1020,10392,265,597,310,400,976,198,1405,30829,29512,5650,1573,6538,924
2,1,2019,855,11314,1014,1401,2537,736,4397,1788,780,9201,253,570,415,493,1261,134,1399,39887,37060,4879,1110,6020,642
3,1,2019,1291,18559,837,713,1866,1187,3770,1294,863,10218,327,421,519,847,1206,117,1903,43330,40141,4667,1306,6047,713
4,1,2019,1475,22774,974,579,1719,721,3849,1573,840,8652,358,824,621,925,845,118,1569,37159,34945,4813,883,5799,765
5,1,2019,873,11896,749,445,1126,485,2684,1344,823,8450,297,1653,335,381,411,594,1175,29805,28588,4198,1889,5128,685
6,1,2019,685,5162,549,461,932,322,2508,1047,1879,8765,199,894,247,213,185,238,870,21947,21191,3978,1581,4694,1447
7,1,2019,643,2829,522,768,1148,259,3535,1248,873,7373,150,598,221,134,79,412,746,11620,11135,4151,1416,4818,760
8,1,2019,562,1801,812,1433,1762,208,3589,1514,850,7453,161,395,177,90,47,76,847,6291,6189,4521,804,5056,800
9,1,2019,485,1624,1264,1709,1930,209,4222,1700,627,8534,144,348,171,41,35,88,1257,3725,3600,5532,581,6227,536
10,1,2019,446,2035,1338,1810,2045,250,4497,1737,490,8019,183,475,192,90,112,221,1388,5407,5327,5378,641,6006,464
11,1,2019,480,2960,1258,1380,1725,510,3528,1385,594,7415,163,508,183,181,236,378,1317,8251,8007,4564,1489,5155,533
12,1,2019,1187,3968,1353,1252,2170,695,4294,1696,449,10057,237,859,210,263,457,78,1452,18611,18760,5466,903,6558,361
1,1,2020,1261,7112,1219,1095,2099,903,4076,1700,507,9875,389,554,373,781,687,90,1710,30415,28672,5603,454,6645,445
2,1,2020,3039,14987,1593,1132,2633,2279,4237,1819,314,9468,605,277,463,1374,944,54,1930,35005,32556,5480,396,6697,267
3,1,2020,3855,26792,1429,766,2370,1311,4264,1702,202,8294,680,418,968,1781,1050,16,1845,33542,30795,5219,297,5977,165
4,1,2020,3391,26249,1159,472,1582,651,3315,1410,167,7341,689,1061,752,1176,788,11,995,31018,29097,5084,223,5775,146
5,1,2020,1803,15693,750,622,1479,427,3778,1441,123,6900,372,1722,375,546,475,19,749,20323,19591,4418,169,5126,105
6,1,2020,947,6908,868,1088,1651,362,3534,1384,355,7006,297,1174,291,329,199,114,980,12693,12304,4391,925,5045,238
7,1,2020,781,3248,1033,1556,2036,273,3780,1375,574,6972,200,660,216,214,92,764,1275,9731,9505,4342,1677,5008,550
8,1,2020,773,2089,1128,1742,2139,241,3762,1341,839,8166,151,292,181,142,48,283,1075,5622,5550,4756,1532,5408,679
9,1,2020,741,1743,1485,1953,2407,243,4724,1483,961,7781,197,372,154,82,29,212,1172,4837,4778,5547,1189,6044,925
10,1,2020,858,2184,1493,1863,2417,233,4800,1531,606,8492,149,493,160,152,45,84,1192,3261,3208,5494,732,6134,536
11,1,2020,1654,4518,1525,1693,2191,311,4124,1418,246,7832,189,537,311,387,92,40,1242,4495,4439,4964,375,5462,226
12,1,2020,1407,4814,1256,990,1531,1037,3413,1678,611,7574,208,653,303,376,198,113,1687,11017,11173,4392,464,5137,532
1,1,2021,1676,7075,905,670,1352,1060,3160,1613,1082,9255,370,748,356,477,453,461,1557,23667,23851,4112,834,5161,834
2,1,2021,1523,13373,900,516,1351,983,2834,1272,1149,9920,500,775,579,1446,1008,217,1054,32684,32677,4197,853,5069,914
3,1,2021,2471,24327,1020,469,1608,770,3097,1020,671,7703,504,1063,605,1108,1085,126,827,35514,35211,3781,483,4474,639
4,1,2021,1141,17606,728,1032,1603,374,2821,828,336,6238,348,1264,456,525,890,47,660,35646,35408,4035,319,4484,309
5,1,2021,773,10382,596,1371,1856,284,2941,709,173,5869,242,1734,320,307,377,98,531,26013,25642,3782,278,4162,162
6,1,2021,621,4327,687,1026,1357,292,2331,1038,389,5704,177,1378,236,216,172,319,1074,19434,18590,3031,651,3619,400
7,1,2021,528,3027,649,563,780,229,1597,845,788,4688,145,965,201,128,61,159,871,10948,10578,2406,1067,2824,735
8,1,2021,492,2213,685,771,930,208,2067,1053,802,4946,157,812,177,52,24,98,926,4777,4599,3166,746,3603,725
